Compound,TyreAge,LightGBM_s,XGBoost_s,CatBoost_s,LightGBM_Degradation_s,XGBoost_Degradation_s,CatBoost_Degradation_s,Ensemble_s,Ensemble_Degradation_s
SOFT,2,76.07007477937583,85.6833267211914,79.29064183580894,0.0,0.0,0.0,80.39837025854571,0.0
SOFT,3,79.54610162901714,89.63404083251953,79.39021443227932,3.4760268496413147,3.950714111328125,0.09957259647038086,82.85285077190898,2.454480513363265
SOFT,4,79.54071543865606,89.66667175292969,79.36400377102005,3.4706406592802352,3.9833450317382812,0.07336193521111056,82.85285564172182,2.454485383176106
SOFT,5,78.38689462354444,88.18317413330078,79.35520492370655,2.316819844168606,2.499847412109375,0.06456308789761067,81.98925151910694,1.5908812605612326
SOFT,6,79.13160042864024,88.982177734375,79.66951110237285,3.0615256492644107,3.2988510131835938,0.3788692665639104,82.60167044839775,2.203300189852044
SOFT,7,79.16325170474796,89.03535461425781,79.80144451526306,3.093176925372134,3.3520278930664062,0.5108026794541161,82.67553170603468,2.2771614474889645
SOFT,8,79.23869655434888,89.17137908935547,79.91756079734108,3.1686217749730474,3.4880523681640625,0.6269189615321409,82.78537146497376,2.387001206428053
SOFT,9,79.35741352906504,89.2535400390625,80.10292508034462,3.287338749689212,3.5702133178710938,0.8122832445356778,82.91519436022863,2.5168241016829143
SOFT,10,79.43334392057052,89.30553436279297,80.25020351318895,3.3632691411946922,3.6222076416015625,0.9595616773800089,83.00807793523097,2.609707676685261
SOFT,11,79.47142067317401,89.30184936523438,80.43790911622517,3.4013458937981795,3.6185226440429688,1.14726728041623,83.08451924054704,2.6861489820013276
SOFT,12,79.47142067317401,89.30126190185547,80.43861440136206,3.4013458937981795,3.6179351806640625,1.1479725655531183,83.08456992417351,2.6861996656277967
SOFT,13,79.42862825595,89.30126190185547,80.3985844169972,3.3585534765741727,3.6179351806640625,1.1079425811882544,83.05700074754171,2.658630488995996
SOFT,14,79.53215172039462,89.31385040283203,80.41050485620073,3.4620769410187933,3.630523681640625,1.11986302039179,83.098220043254,2.6998497847082916
SOFT,15,79.53215172039462,89.4958724975586,80.43041622844054,3.4620769410187933,3.8125457763671875,1.139774392631594,83.16582513255102,2.7674548740053098
SOFT,16,79.51363499166045,89.48406219482422,80.43397246982079,3.4435602122846234,3.8007354736328125,1.1433306340118463,83.15725505955092,2.758884801005209
SOFT,17,79.42663940259877,89.31999206542969,80.42241377900875,3.356564623222937,3.6366653442382812,1.1317719431998086,83.07093598615535,2.672565727609637
