compound,tyre_age,lightgbm_s,xgboost_s,catboost_s,ensemble_s,pace_loss_s
SOFT,1,79.01577815735037,84.78250885009766,79.37619514766764,81.06313047397168,0.0
SOFT,2,78.2132301024288,84.4174575805664,80.04013433186728,80.91873236441823,-0.14439810955344967
SOFT,3,82.88551888246312,89.0335464477539,80.21726364562738,84.00172044458354,2.938589970611858
SOFT,4,82.68901447099199,89.25214385986328,80.06722359165755,83.9597587085778,2.896628234606112
SOFT,5,81.16638965548576,87.28450775146484,79.95092810780847,82.78022097591558,1.7170905019439004
SOFT,6,82.04584676604607,88.92770385742188,80.61404647902147,83.83856223024513,2.7754317562734485
SOFT,7,82.02482179527972,89.01323699951172,80.85846014753942,83.9457838017702,2.882653327798522
SOFT,8,82.07625115892331,88.70204162597656,81.9000819045703,84.22235558414471,3.1592251101730255
SOFT,9,82.12912751239912,88.69257354736328,82.5910865227898,84.47741658835345,3.414286114381767
SOFT,10,82.17398234941383,88.53119659423828,82.95546107908531,84.56519457813499,3.50206410416331
SOFT,11,82.17786800192938,88.55766296386719,83.15710744442299,84.64570005823174,3.5825695842600567
SOFT,12,82.1987578488863,88.50440216064453,83.2316417792357,84.66062652949634,3.5974960555246582
SOFT,13,82.09973369592942,88.50170135498047,83.2217534094547,84.62483987255433,3.56170939858265
SOFT,14,82.06192462439358,88.5093002319336,83.27442308548505,84.63377294386804,3.570642469896356
SOFT,15,82.11330428875688,88.50779724121094,83.3164154739502,84.66425271576155,3.6011222417898665
SOFT,16,82.11330428875688,88.501953125,83.29675513817506,84.65543633080628,3.5923058568345994
SOFT,17,81.96373237986955,88.48283386230469,83.2229542018205,84.57580394243162,3.512673468459937
SOFT,18,81.96373237986955,88.479248046875,83.18298786162349,84.5606452366574,3.497514762685711
SOFT,19,81.96714528561009,88.4926528930664,83.19910857292713,84.57182738439904,3.5086969104273606
SOFT,20,81.97622139424308,88.55050659179688,83.23072553231643,84.60503137446923,3.541900900497552
SOFT,21,82.08162718829307,88.55603790283203,83.41261782859677,84.70388366233368,3.640753188361998
SOFT,22,82.08162718829307,88.73483276367188,83.41577387690437,84.764559279048,3.7014288050763184
SOFT,23,82.07956503140534,89.0103988647461,83.42119471382233,84.85761498327403,3.7944845093023503
SOFT,24,82.14674117032853,88.81722259521484,83.39935267300271,84.8069416371334,3.7438111631617232
SOFT,25,82.55353366899644,88.81305694580078,83.40847361930442,84.937862909088,3.8747324351163144
SOFT,26,82.86986341307832,88.8313980102539,83.4364100843582,85.05414290415862,3.9910124301869416
