iter	MAE
0	12.45466917
1	12.2196453
2	11.99374619
3	11.77741376
4	11.56870825
5	11.36962485
6	11.18360688
7	10.98725455
8	10.80731092
9	10.64520616
10	10.48086935
11	10.32157149
12	10.15853487
13	9.996997251
14	9.851002793
15	9.702740948
16	9.581795102
17	9.442227344
18	9.323947354
19	9.201874233
20	9.092524684
21	8.965224987
22	8.844908784
23	8.740558578
24	8.623340207
25	8.514893475
26	8.413495967
27	8.303978385
28	8.203290474
29	8.107985199
30	8.014524135
31	7.927066418
32	7.855347901
33	7.77305106
34	7.709383184
35	7.634603904
36	7.555621858
37	7.482654837
38	7.413706907
39	7.350828966
40	7.280018398
41	7.220640146
42	7.162014505
43	7.103746368
44	7.057675048
45	6.998941363
46	6.953841129
47	6.899727805
48	6.857160034
49	6.806462257
50	6.767004339
51	6.718496284
52	6.679052817
53	6.632687223
54	6.591693364
55	6.554621396
56	6.508317306
57	6.467725708
58	6.436616755
59	6.40333805
60	6.366500506
61	6.333710242
62	6.305017617
63	6.273011665
64	6.249365968
65	6.217824461
66	6.188963618
67	6.159852803
68	6.130055055
69	6.103068155
70	6.076618498
71	6.05044273
72	6.025545894
73	6.004838828
74	5.975930696
75	5.950625503
76	5.925737442
77	5.90610652
78	5.885741842
79	5.867503144
80	5.847690952
81	5.830426788
82	5.811806591
83	5.794749787
84	5.772933547
85	5.75382348
86	5.737188884
87	5.723433419
88	5.703891577
89	5.690141516
90	5.669293269
91	5.656017516
92	5.640840062
93	5.627773153
94	5.615604534
95	5.601332167
96	5.579041975
97	5.568283326
98	5.55484943
99	5.54377182
100	5.532850944
101	5.521767615
102	5.509381548
103	5.498262623
104	5.488205539
105	5.474545127
106	5.460719228
107	5.451237296
108	5.439386549
109	5.430556239
110	5.41991269
111	5.411889108
112	5.404820595
113	5.397914335
114	5.388950301
115	5.379746484
116	5.372255675
117	5.363388066
118	5.35009293
119	5.34108116
120	5.336455691
121	5.32706766
122	5.306482275
123	5.300832068
124	5.295524991
125	5.282346954
126	5.278947462
127	5.274236725
128	5.268211357
129	5.26247445
130	5.257144464
131	5.247779031
132	5.234298596
133	5.231196718
134	5.226488114
135	5.223684252
136	5.219519031
137	5.215460178
138	5.212262666
139	5.21054606
140	5.203406108
141	5.191331426
142	5.188389107
143	5.180355827
144	5.177920317
145	5.16552275
146	5.160654175
147	5.155952199
148	5.154245258
149	5.151727732
150	5.147624181
151	5.145368096
152	5.142872678
153	5.129429751
154	5.122495302
155	5.118432016
156	5.115054547
157	5.112267071
158	5.108330716
159	5.105281969
160	5.103130854
161	5.100328187
162	5.097433547
163	5.09452393
164	5.09091519
165	5.088828329
166	5.08719206
167	5.077604383
168	5.075087528
169	5.067237261
170	5.065106071
171	5.062208409
172	5.060260484
173	5.05801479
174	5.056447754
175	5.05495758
176	5.05329202
177	5.048098402
178	5.044815061
179	5.041105807
180	5.035029618
181	5.032783585
182	5.030497941
183	5.028267101
184	5.024471421
185	5.02287035
186	5.017960749
187	5.01531055
188	5.001311345
189	4.99854513
190	4.995843218
191	4.994120967
192	4.990484318
193	4.974540203
194	4.971369196
195	4.967808657
196	4.964809819
197	4.962506599
198	4.960767321
199	4.959163286
200	4.95473953
201	4.953588832
202	4.943338231
203	4.935819376
204	4.928624769
205	4.926293717
206	4.925296546
207	4.914047271
208	4.912528766
209	4.901742728
210	4.900725231
211	4.898776691
212	4.897538544
213	4.892940089
214	4.879406709
215	4.873050266
216	4.871844514
217	4.861450047
218	4.858908067
219	4.847269192
220	4.838736137
221	4.833947294
222	4.832930002
223	4.826574762
224	4.822211647
225	4.820346234
226	4.817722554
227	4.808079174
228	4.806870659
229	4.801290387
230	4.790893645
231	4.78972321
232	4.7800259
233	4.770708572
234	4.761063617
235	4.754782696
236	4.748971791
237	4.746201892
238	4.74155366
239	4.739921032
240	4.737812699
241	4.735007708
242	4.731851464
243	4.73040697
244	4.728010225
245	4.727094232
246	4.7194364
247	4.712807254
248	4.707706308
249	4.699262105
250	4.694300339
251	4.691774425
252	4.688283698
253	4.686039358
254	4.677576834
255	4.674772041
256	4.671035526
257	4.65681359
258	4.655897581
259	4.649360715
260	4.647093544
261	4.644767627
262	4.642931488
263	4.641691178
264	4.634187455
265	4.632233781
266	4.629668806
267	4.62253905
268	4.621657217
269	4.617304567
270	4.609667743
271	4.60614084
272	4.60527534
273	4.601429818
274	4.600499735
275	4.593089069
276	4.591937085
277	4.591125694
278	4.589926664
279	4.589005213
280	4.585096334
281	4.584301371
282	4.582280166
283	4.574096931
284	4.572550888
285	4.571572636
286	4.569423486
287	4.568284826
288	4.562111122
289	4.561183487
290	4.556024331
291	4.554194197
292	4.550042414
293	4.5494694
294	4.548268487
295	4.540626932
296	4.538219676
297	4.533432896
298	4.528320342
299	4.527728194
300	4.525157206
301	4.524626689
302	4.516965108
303	4.515964796
304	4.512255981
305	4.510154581
306	4.506410834
307	4.502577231
308	4.501032796
309	4.501000069
310	4.497828366
311	4.492361386
312	4.490768421
313	4.484461741
314	4.482871324
315	4.480793694
316	4.479300591
317	4.477756536
318	4.471877931
319	4.468122063
320	4.464621407
321	4.46096374
322	4.459761726
323	4.456467004
324	4.449949247
325	4.448203528
326	4.447076941
327	4.440893831
328	4.439855513
329	4.436543319
330	4.435951752
331	4.435064568
332	4.432872644
333	4.430429798
334	4.429076268
335	4.427817333
336	4.423087755
337	4.419975517
338	4.419095249
339	4.412091141
340	4.407143807
341	4.406365401
342	4.404783387
343	4.402628678
344	4.401409668
345	4.397578117
346	4.388833697
347	4.387079452
348	4.383248738
349	4.381885758
350	4.378757382
351	4.378235049
352	4.370463196
353	4.369096068
354	4.367555902
355	4.36485158
356	4.363063321
357	4.358527248
358	4.356856306
359	4.355699199
360	4.351055199
361	4.349652048
362	4.348882614
363	4.345530844
364	4.342887059
365	4.337801165
366	4.337088934
367	4.33531009
368	4.33356752
369	4.33110439
370	4.328716718
371	4.327183124
372	4.326456389
373	4.324819668
374	4.323841899
375	4.32227276
376	4.321806836
377	4.320582983
378	4.319701769
379	4.317562422
380	4.315854391
381	4.313489044
382	4.310836023
383	4.306378246
384	4.302681226
385	4.299146994
386	4.295560881
387	4.289812145
388	4.288407211
389	4.287526084
390	4.285886116
391	4.284318186
392	4.283425979
393	4.281516363
394	4.280146988
395	4.278984709
396	4.27445018
397	4.273656837
398	4.27172321
399	4.270156838
400	4.267426444
401	4.264897941
402	4.256913338
403	4.254440737
404	4.253335734
405	4.251845698
406	4.251090613
407	4.249837505
408	4.248378487
409	4.246898081
410	4.245612019
411	4.244340446
412	4.239286369
413	4.237846929
414	4.236188038
415	4.234783888
416	4.232006582
417	4.230886693
418	4.229384875
419	4.228781029
420	4.228179101
421	4.224106611
422	4.222340025
423	4.220993146
424	4.214925355
425	4.21284545
426	4.2113123
427	4.209015471
428	4.206056157
429	4.204618301
430	4.202832243
431	4.202134101
432	4.200096137
433	4.199341309
434	4.194888276
435	4.194051075
436	4.192722707
437	4.190014976
438	4.187596191
439	4.18479079
440	4.181694579
441	4.18050917
442	4.178292706
443	4.177052811
444	4.175625988
445	4.172370208
446	4.171129733
447	4.170535967
448	4.168106113
449	4.166644225
450	4.163876449
451	4.163332714
452	4.162419218
453	4.160738403
454	4.160305959
455	4.15852099
456	4.157506882
457	4.155762325
458	4.1508732
459	4.1486227
460	4.143935482
461	4.14314077
462	4.1354785
463	4.133810919
464	4.132799135
465	4.131869916
466	4.130012894
467	4.128924296
468	4.128218612
469	4.127705656
470	4.125009842
471	4.122359258
472	4.1208805
473	4.11622683
474	4.115594061
475	4.110153015
476	4.108492604
477	4.108105315
478	4.106884136
479	4.104819625
480	4.103707644
481	4.101530758
482	4.10078187
483	4.099082593
484	4.096155945
485	4.094836914
486	4.091454605
487	4.087193348
488	4.08593533
489	4.081260743
490	4.08061192
491	4.079572058
492	4.078813523
493	4.078440273
494	4.0761142
495	4.070743938
496	4.067819172
497	4.067240824
498	4.066783754
499	4.066274496
500	4.065226816
501	4.064686763
502	4.064314906
503	4.063202559
504	4.062568675
505	4.061947052
506	4.061373784
507	4.059501628
508	4.057706355
509	4.056446415
510	4.055902763
511	4.055017909
512	4.05434557
513	4.049548094
514	4.048979457
515	4.048455239
516	4.047359939
517	4.046163712
518	4.045565468
519	4.042922969
520	4.041403066
521	4.039881225
522	4.039062692
523	4.038218186
524	4.037506511
525	4.036927001
526	4.035713084
527	4.034845448
528	4.033362596
529	4.031357773
530	4.031044146
531	4.028631164
532	4.024385396
533	4.02126966
534	4.020280767
535	4.01971461
536	4.018726985
537	4.018165068
538	4.017554771
539	4.017078169
540	4.016547821
541	4.014394174
542	4.013868082
543	4.012963579
544	4.011308444
545	4.010781424
546	4.007498634
547	4.005727328
548	4.005303325
549	4.004740556
550	4.000515162
551	3.999907363
552	3.999402035
553	3.998520479
554	3.996265277
555	3.995778005
556	3.994829043
557	3.993795572
558	3.993348532
559	3.992335459
560	3.990913142
561	3.989734669
562	3.989354824
563	3.988643186
564	3.987842702
565	3.98562209
566	3.984982304
567	3.983998665
568	3.983067776
569	3.981421818
570	3.980531355
571	3.979672717
572	3.975084555
573	3.974451018
574	3.972581077
575	3.971984705
576	3.971512253
577	3.970776839
578	3.970100626
579	3.968736013
580	3.967652889
581	3.967039494
582	3.965906804
583	3.962363348
584	3.957461843
585	3.953698243
586	3.952981674
587	3.952198091
588	3.948334129
589	3.946749094
590	3.945889978
591	3.945452219
592	3.945036303
593	3.942862312
594	3.942377266
595	3.9392961
596	3.937859943
597	3.936372706
598	3.936048564
599	3.934402566
600	3.932462895
601	3.932074572
602	3.93172443
603	3.931483979
604	3.930857702
605	3.929546527
606	3.929228064
607	3.929000368
608	3.928590189
609	3.927683007
610	3.926096775
611	3.925208727
612	3.923793093
613	3.923142482
614	3.922810642
615	3.922034469
616	3.921784331
617	3.920657243
618	3.920245099
619	3.919792376
620	3.918927984
621	3.918045705
622	3.915813537
623	3.914596422
624	3.914089058
625	3.913133146
626	3.910665762
627	3.910416391
628	3.909889819
629	3.90967038
630	3.907304696
631	3.90085883
632	3.900491385
633	3.896851288
634	3.89577499
635	3.895041115
636	3.894713116
637	3.893776192
638	3.892172803
639	3.891538065
640	3.891093414
641	3.889646905
642	3.887005809
643	3.885407415
644	3.884259388
645	3.881816933
646	3.881369877
647	3.880498632
648	3.879422556
649	3.878718543
650	3.878322604
651	3.877967926
652	3.873166374
653	3.870036503
654	3.869404091
655	3.868451542
656	3.868128546
657	3.867474328
658	3.866855745
659	3.864567422
660	3.864070854
661	3.863511222
662	3.86323224
663	3.86273089
664	3.862099464
665	3.859108381
666	3.856982665
667	3.854605776
668	3.852041819
669	3.849948789
670	3.846044588
671	3.843555651
672	3.842747614
673	3.842532143
674	3.842069079
675	3.840566291
676	3.839729679
677	3.83855892
678	3.837450375
679	3.835851987
680	3.835409997
681	3.833086704
682	3.832584173
683	3.829941111
684	3.829424992
685	3.829027352
686	3.828731914
687	3.827815547
688	3.827482651
689	3.826706657
690	3.826061539
691	3.825697404
692	3.82445638
693	3.823746306
694	3.822661872
695	3.822210748
696	3.821205268
697	3.820920381
698	3.820435222
699	3.819629798
700	3.815075135
701	3.814714935
702	3.810363094
703	3.807112739
704	3.80630414
705	3.802018903
706	3.801340911
707	3.800582078
708	3.799968949
709	3.799503966
710	3.798977221
711	3.797524156
712	3.796940122
713	3.796044867
714	3.793606088
715	3.793346027
716	3.790721324
717	3.790395017
718	3.787725662
719	3.787034038
720	3.785852256
721	3.781966593
722	3.78151414
723	3.781043714
724	3.78004292
725	3.777394129
726	3.776638189
727	3.776108046
728	3.775536823
729	3.774423403
730	3.773334306
731	3.76908471
732	3.768469161
733	3.767666443
734	3.767242608
735	3.766345232
736	3.766087053
737	3.765255177
738	3.764011468
739	3.763765219
740	3.762327328
741	3.759818582
742	3.758781893
743	3.757475838
744	3.757002002
745	3.756302889
746	3.755565276
747	3.753151905
748	3.752665095
749	3.75226186
750	3.751126294
751	3.750676311
752	3.748714066
753	3.747575656
754	3.746037337
755	3.744538435
756	3.743899529
757	3.741840317
758	3.741341014
759	3.740964508
760	3.740530927
761	3.737656041
762	3.737207709
763	3.736635941
764	3.735507494
765	3.734595825
766	3.734234797
767	3.733156158
768	3.732541343
769	3.731297156
770	3.730015216
771	3.727228705
772	3.726082559
773	3.724489424
774	3.723703319
775	3.723239859
776	3.721920718
777	3.72072985
778	3.720279322
779	3.71826093
780	3.716337449
781	3.71489604
782	3.711213792
783	3.71077929
784	3.709921698
785	3.708345213
786	3.707016388
787	3.706870512
788	3.706421881
789	3.706092978
790	3.705272551
791	3.704520783
792	3.703089394
793	3.702587835
794	3.702319632
795	3.700918902
796	3.69750158
797	3.697016719
798	3.696140826
799	3.695679255
800	3.694893003
801	3.693160232
802	3.692728268
803	3.692208741
804	3.691429382
805	3.691230385
806	3.690665357
807	3.689831011
808	3.689119122
809	3.686915368
810	3.686594832
811	3.685048805
812	3.683259907
813	3.682973203
814	3.682557217
815	3.681630646
816	3.679430664
817	3.676723773
818	3.676091945
819	3.675867278
820	3.67529946
821	3.674670604
822	3.674414357
823	3.67403917
824	3.673446801
825	3.673060302
826	3.672867781
827	3.669563943
828	3.66782583
829	3.667656225
830	3.665299314
831	3.66482165
832	3.663966705
833	3.663453941
834	3.662586009
835	3.661656748
836	3.661562438
837	3.660620637
838	3.660231852
839	3.658582693
840	3.658108273
841	3.657521362
842	3.6566879
843	3.65611663
844	3.654553421
845	3.653678762
846	3.653218826
847	3.652555122
848	3.651174636
849	3.65020406
850	3.649615455
851	3.647951418
852	3.647618865
853	3.647117218
854	3.646471243
855	3.646131541
856	3.644702063
857	3.643999106
858	3.643025155
859	3.642503756
860	3.642303494
861	3.640549974
862	3.639928213
863	3.638047214
864	3.637731557
865	3.636929735
866	3.636598977
867	3.636292234
868	3.635859493
869	3.6352805
870	3.63491934
871	3.634367274
872	3.632636913
873	3.631708936
874	3.630953504
875	3.630163068
876	3.629553583
877	3.628839038
878	3.628342829
879	3.625414527
880	3.624888248
881	3.624378607
882	3.624162053
883	3.623480125
884	3.623334772
885	3.623145324
886	3.622870881
887	3.621906628
888	3.621189671
889	3.620693213
890	3.620213255
891	3.619018326
892	3.617877789
893	3.617146315
894	3.61625761
895	3.614999533
896	3.612988517
897	3.611681063
898	3.611246703
899	3.610379981
900	3.607353535
901	3.606987399
902	3.606860744
903	3.606301049
904	3.6058996
905	3.605316174
906	3.605102966
907	3.60492821
908	3.603523528
909	3.602543623
910	3.602086297
911	3.601854695
912	3.600767391
913	3.599205807
914	3.598849108
915	3.59845287
916	3.597921174
917	3.597560458
918	3.597114698
919	3.596221151
920	3.595734092
921	3.594593438
922	3.594098045
923	3.592541883
924	3.591224137
925	3.590969124
926	3.590319875
927	3.589574243
928	3.589312329
929	3.588466568
930	3.588029254
931	3.58735301
932	3.587071358
933	3.586790983
934	3.586315844
935	3.58507021
936	3.5845213
937	3.584321391
938	3.582909619
939	3.582672974
940	3.582279806
941	3.581524489
942	3.581222436
943	3.580629462
944	3.579193088
945	3.577875911
946	3.577497534
947	3.57668337
948	3.576028779
949	3.575270622
950	3.574691898
951	3.57280459
952	3.572099483
953	3.570867792
954	3.570187223
955	3.569322411
956	3.568921163
957	3.568075055
958	3.565510689
959	3.564636054
960	3.563803249
961	3.563379696
962	3.56291404
963	3.562482287
964	3.561924414
965	3.561441564
966	3.560223987
967	3.56000355
968	3.559734529
969	3.559568067
970	3.55920204
971	3.559117966
972	3.557828787
973	3.556981328
974	3.556295619
975	3.555902271
976	3.553999229
977	3.552315599
978	3.551395497
979	3.551195517
980	3.550138054
981	3.549373622
982	3.549013342
983	3.548861718
984	3.548228156
985	3.547752118
986	3.547366606
987	3.547082934
988	3.546065999
989	3.545771492
990	3.544655131
991	3.542329797
992	3.541792883
993	3.541348164
994	3.540809004
995	3.540457952
996	3.539413709
997	3.538644442
998	3.537846346
999	3.537467202
1000	3.535364157
1001	3.534836973
1002	3.534387095
1003	3.533803169
1004	3.532955334
1005	3.532588562
1006	3.53221837
1007	3.531028986
1008	3.530733159
1009	3.530238181
1010	3.529827229
1011	3.528790788
1012	3.528556261
1013	3.528425624
1014	3.527981527
1015	3.527914955
1016	3.527519106
1017	3.527152697
1018	3.527059389
1019	3.526964181
1020	3.52648829
1021	3.526364812
1022	3.526132309
1023	3.525761591
1024	3.525469776
1025	3.524951778
1026	3.524797413
1027	3.524491365
1028	3.523487317
1029	3.523216504
1030	3.522642924
1031	3.521832502
1032	3.521486436
1033	3.520576293
1034	3.520025103
1035	3.519449286
1036	3.519188499
1037	3.518887797
1038	3.518777091
1039	3.518638043
1040	3.518037783
1041	3.517803537
1042	3.5172749
1043	3.516692584
1044	3.516460086
1045	3.516164749
1046	3.515645842
1047	3.514947789
1048	3.513626088
1049	3.513406107
1050	3.513242767
1051	3.512561645
1052	3.512314771
1053	3.511562339
1054	3.511193781
1055	3.510181887
1056	3.509791885
1057	3.509096463
1058	3.508884159
1059	3.5075283
1060	3.507345387
1061	3.507258724
1062	3.507014367
1063	3.504998062
1064	3.504506276
1065	3.504097433
1066	3.503900632
